,CONTROLNUM_0,CONTROLNUM_2,CONTROLNUM_3,Fam_support,Q513R,Q515R,Q702R_1,Q702R_3,ageyr10_1,earlymarriage_1,edpart_3,mcv1006,mcv1006a,mcv1006b,mcv1008,mcv1009,men_alcohol_all,sumdiffage_1
333,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1103,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
96,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
747,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
1208,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0
377,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1318,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0
409,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
325,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
458,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
1262,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
989,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
725,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0
1183,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
188,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
329,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
644,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
510,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
913,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
295,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0
508,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
765,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
568,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
925,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0
1327,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
375,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
954,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
213,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
691,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1
1176,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0
1122,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
127,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
341,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
412,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
64,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
692,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1281,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
202,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1089,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
792,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
380,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1308,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0
29,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1121,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
974,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
261,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0
914,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
1298,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
123,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
170,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
661,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1319,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
1006,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0
129,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
