,CONTROLNUM,Q702R,Q515R,Q513R,mcv1006,mcv1006a,mcv1006b,mcv1008,men_alcohol_all,mcv1009,earlymarriage,Fam_support,Q516R,edpart,rQ701d,rQ701b,rQ701a,sumdiffage,edresp,country,rQ701c,sQ601c,sQ601d,EP3,FCMAR,tQ602d,SourceIncome,ageyr10,justify,tQ602c
856,0,1,0,0,0,0,0,1,0,0,1,1,0,3,1,1,1,4,2,1,1,1,1,1,0,0,4,3,0,0
931,3,2,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,4,1,1,0,1,1,2,0,1,4,2,1,1
541,1,2,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,3,2,1,1,1,1,1,0,0,1,1,0,0
28,2,2,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,4,2,1,1,1,1,4,0,0,2,4,0,0
1297,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,1,0,1,1,1,0,1,5,5,0,0
1177,1,2,1,0,0,0,0,0,1,0,0,1,1,3,1,1,1,4,3,1,0,0,1,3,1,0,5,2,0,0
60,3,1,0,0,1,0,0,0,0,0,1,1,0,3,1,1,1,1,1,1,1,1,1,2,0,1,3,4,1,1
1330,0,2,0,1,0,0,0,0,1,0,0,1,0,3,1,1,1,2,3,1,1,1,1,2,0,0,3,3,0,0
594,2,2,0,0,0,0,0,0,0,1,1,1,0,2,1,1,1,4,2,1,1,1,1,1,0,0,4,2,0,0
300,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3,1,1,1,1,0,1,1,0,4,3,1,0
748,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,3,1,1,1,1,1,0,0,4,4,0,0
319,0,1,1,0,0,0,0,0,1,0,0,1,1,2,1,1,1,4,3,1,1,1,1,1,0,0,3,5,0,0
1021,3,3,0,0,0,1,1,0,0,0,0,1,0,3,1,1,1,3,3,1,1,1,1,1,0,0,3,2,0,0
711,0,1,0,0,0,1,1,0,0,0,0,1,0,2,1,1,1,2,2,1,1,1,1,3,0,0,2,2,0,0
832,2,2,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,4,2,1,1,1,1,1,0,1,4,1,1,1
793,0,2,0,0,0,1,1,0,1,0,0,1,0,2,1,1,1,2,2,1,1,0,0,4,1,0,1,5,0,0
1276,1,2,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,4,3,1,1,1,1,2,1,0,4,2,0,0
306,1,2,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,3,2,1,0,1,1,1,0,1,2,5,0,0
1107,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,3,1,1,1,1,1,4,1,0,5,5,0,0
999,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,2,1,1,1,1,1,1,0,0,4,4,0,0
726,3,3,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,2,2,1,1,1,1,2,0,0,2,4,0,0
27,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,1,1,1,1,1,1,0,4,2,0,0
431,1,2,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,2,2,1,1,1,1,2,0,0,4,3,1,0
384,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,2,1,0,1,1,4,0,0,3,1,0,0
708,1,3,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,4,1,1,1,1,1,4,0,0,2,4,1,1
503,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,1,1,2,0,1,3,3,1,0
83,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,3,2,1,1,1,1,1,0,0,5,2,0,0
226,1,1,0,0,1,0,0,0,1,0,9,1,0,1,0,1,1,2,1,1,0,0,1,4,9,0,2,4,0,0
54,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,3,3,1,1,0,0,4,0,0,2,5,0,0
668,0,1,0,0,0,0,0,0,1,0,1,1,0,2,1,1,1,2,1,1,1,1,1,1,0,0,2,5,0,0
841,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3,1,1,1,1,1,1,0,0,1,5,0,0
960,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,3,2,1,1,1,1,1,0,0,2,3,0,0
333,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,1,1,1,2,1,1,1,1,2,0,1,4,2,1,1
1103,2,2,1,0,0,0,0,0,0,1,0,1,1,2,1,1,1,1,2,1,0,0,0,2,0,0,4,2,0,0
96,0,2,1,0,1,1,0,0,1,1,0,1,1,2,1,1,1,3,2,1,1,0,1,1,0,0,3,4,0,0
747,3,1,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,2,2,1,1,1,1,2,0,1,3,1,0,0
1208,2,1,1,0,0,0,0,0,1,1,9,1,0,2,1,0,0,2,2,1,1,1,1,4,9,1,2,2,0,0
377,0,2,0,0,0,0,0,0,0,0,9,1,0,3,1,1,1,1,3,1,1,0,0,4,9,0,2,3,0,0
1318,3,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,3,1,1,1,1,1,4,0,1,2,3,1,0
409,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,1,1,1,1,1,1,0,0,4,5,1,0
325,0,2,0,0,0,0,1,0,1,1,0,1,0,2,1,1,1,3,2,1,1,1,1,1,0,0,3,2,0,0
458,3,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,2,1,0,4,3,0,0
1262,0,2,0,0,1,1,1,0,0,0,9,1,0,2,1,1,1,3,3,1,1,0,0,4,9,0,2,1,0,0
989,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,2,2,1,1,1,1,2,1,0,4,2,0,0
725,0,2,0,1,0,0,1,1,1,0,0,1,0,2,1,1,0,4,2,1,0,0,1,2,0,1,3,2,0,0
1183,3,3,0,0,1,1,1,0,0,0,0,1,0,3,1,1,1,4,2,1,1,1,1,1,0,0,3,2,0,0
188,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,3,2,1,0,0,0,3,1,1,5,1,1,0
329,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,2,2,1,1,1,1,1,0,1,4,4,1,0
644,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,3,3,1,1,0,1,4,0,1,5,4,0,0
510,2,2,0,1,0,0,0,0,1,0,0,1,0,2,1,1,1,2,2,1,1,1,1,1,0,1,4,2,0,0
913,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3,1,1,0,1,1,0,0,4,3,0,0
295,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,3,1,1,1,0,1,1,0,0,4,4,0,0
508,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,1,1,1,1,1,0,0,4,3,0,0
625,1,2,0,0,0,1,1,0,0,0,0,1,0,2,1,1,0,3,3,1,1,1,1,1,0,0,3,4,0,0
765,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,3,2,1,1,1,1,1,0,0,2,4,0,0
568,2,1,0,0,1,0,0,0,0,0,1,1,0,2,1,1,1,1,2,1,1,1,1,4,0,0,1,5,0,1
