,CONTROLNUM,Q702R,Q515R,Q513R,mcv1006,mcv1006a,mcv1006b,mcv1008,men_alcohol_all,mcv1009,earlymarriage,Fam_support,Q516R,edpart,rQ701d,rQ701b,rQ701a,sumdiffage,edresp,country,rQ701c,sQ601c,sQ601d,EP3,FCMAR,tQ602d,SourceIncome,ageyr10,justify,tQ602c
1974,1,1,0,0,0,0,1,1,0,0,9,1,0,2,1,1,1,2,3,2,0,0,1,4,9,0,5,1,0,0
2185,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,2,2,1,0,1,1,0,0,3,4,0,0
2229,2,1,0,0,0,0,0,0,1,0,9,0,0,1,1,1,1,1,2,2,1,1,1,3,9,0,2,5,0,0
1723,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,2,2,0,1,0,4,9,0,5,1,0,0
2049,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,2,2,1,0,1,1,0,0,3,3,0,0
1879,0,2,0,0,1,0,1,0,0,0,9,1,0,3,1,1,1,2,3,2,1,1,1,3,9,0,5,1,0,0
1764,2,1,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,4,1,2,1,1,1,1,1,0,3,4,0,1
1643,2,2,1,1,0,0,1,0,1,0,9,0,1,2,1,1,1,2,1,2,1,1,1,3,9,1,3,3,0,1
2312,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,3,2,1,0,1,1,0,0,2,3,0,0
1451,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,2,1,1,1,4,1,0,2,3,0,0
1491,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,3,1,2,1,1,1,2,1,0,2,4,0,0
2159,1,3,0,0,0,1,1,1,1,1,0,1,0,2,1,0,1,3,2,2,0,1,0,1,0,0,5,3,0,0
2068,2,1,1,0,0,0,0,0,1,0,0,1,1,2,1,1,1,3,1,2,1,0,1,2,1,0,2,3,0,0
2319,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,4,1,0,2,5,0,0
1593,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,2,2,0,1,1,1,0,1,2,4,0,1
1609,0,2,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,2,2,1,1,1,4,1,0,2,4,0,1
1596,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,3,2,0,1,1,3,9,0,5,1,0,0
2108,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,2,1,0,1,1,0,0,3,4,0,1
2064,2,1,0,0,0,1,1,0,0,1,0,0,0,2,1,1,1,2,2,2,1,0,1,1,0,0,3,4,0,1
2092,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,2,2,1,1,1,1,0,0,1,3,0,0
1734,1,2,0,0,0,0,1,0,1,0,9,1,0,1,0,0,0,2,2,2,0,1,1,4,9,0,5,1,0,0
1670,1,3,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,3,1,2,1,1,1,4,1,0,5,3,0,0
1692,1,2,0,1,0,0,1,0,0,0,1,1,0,2,1,1,1,2,2,2,1,1,0,2,1,0,3,1,0,0
1659,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,3,2,0,0,1,4,9,0,5,2,0,0
1960,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,2,0,1,1,4,1,0,2,3,0,0
1826,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,2,1,1,1,2,1,0,3,2,1,0
1715,0,1,0,0,0,0,1,0,0,0,9,1,0,1,0,0,0,4,2,2,0,0,0,4,9,0,3,1,0,1
1631,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,3,2,2,0,1,0,1,0,0,2,5,0,0
2221,0,2,1,1,0,1,1,0,1,0,0,0,0,2,0,0,0,1,2,2,0,1,0,1,0,0,5,5,0,0
1890,1,2,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,4,2,2,1,1,1,2,1,0,5,2,0,0
2027,1,1,0,0,1,0,0,0,0,0,9,1,0,2,1,1,1,4,2,2,1,1,1,3,9,0,2,2,0,0
1959,0,1,0,0,0,0,0,0,1,0,9,0,0,3,0,0,0,3,3,2,0,0,1,3,9,0,5,1,0,0
2133,2,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,4,1,2,0,1,0,4,1,0,2,2,0,1
1469,1,3,0,0,0,0,0,0,0,1,9,1,0,2,0,0,0,2,2,2,0,1,1,4,9,0,5,2,0,0
2031,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,2,1,1,0,2,1,0,3,2,0,0
2215,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,4,3,2,1,1,1,1,0,0,2,3,0,0
2230,2,1,0,0,0,0,1,0,1,0,0,1,0,3,1,1,1,3,2,2,1,0,1,2,1,0,3,4,0,0
2268,1,2,1,1,1,0,1,0,0,0,1,1,1,2,1,1,1,4,2,2,1,1,1,1,0,0,3,5,0,0
1666,2,3,1,0,0,0,1,0,0,0,9,1,0,2,0,0,0,2,2,2,0,1,1,3,9,0,2,3,0,1
1396,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,4,3,2,1,0,1,1,0,0,3,2,1,0
2193,0,1,0,0,0,0,0,0,0,1,9,1,0,2,1,1,1,3,2,2,1,1,1,3,9,0,2,4,0,0
1722,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,2,2,1,1,1,1,0,0,3,4,0,0
1842,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,2,1,0,0,2,1,0,2,3,0,0
2165,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,3,2,1,0,1,4,1,0,1,4,0,0
1763,0,1,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,1,3,2,0,0,1,4,9,0,2,4,0,0
1645,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,2,2,1,1,1,4,1,0,2,4,0,0
2119,2,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,2,2,0,0,0,4,0,0,2,4,1,1
1943,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,2,2,1,1,1,2,1,0,3,3,0,1
2162,1,3,1,0,1,0,1,0,0,0,9,1,0,2,1,1,1,3,2,2,1,0,1,4,9,0,5,1,0,0
1730,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,3,2,1,1,1,1,0,0,3,3,0,0
1772,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,3,2,1,0,0,2,1,0,3,2,1,0
2177,2,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,4,2,2,1,0,1,4,1,0,2,3,0,1
1967,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,3,2,1,0,0,4,1,0,2,2,0,0
2007,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,3,2,0,1,0,1,1,0,2,1,0,0
2032,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,3,2,0,1,1,4,1,0,2,2,0,0
2359,2,3,1,0,0,0,1,0,1,0,9,1,1,2,1,1,1,2,1,2,1,1,1,4,9,0,5,3,1,0
2190,0,3,1,1,0,0,1,0,1,0,9,1,0,2,0,0,0,4,2,2,1,1,0,4,9,0,2,3,0,0
1517,1,2,0,0,0,1,1,0,0,0,9,1,0,3,1,1,1,1,2,2,1,1,1,3,9,0,2,3,0,0
1882,0,1,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,2,2,0,0,1,1,0,0,2,4,0,0
1766,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,2,3,2,1,1,1,2,1,0,3,3,0,0
2241,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,4,2,2,1,1,1,2,1,0,3,4,0,0
1401,2,1,0,0,0,0,0,0,0,0,9,1,0,2,1,1,1,4,2,2,1,1,1,3,9,0,3,3,0,1
1757,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,3,2,2,1,1,0,1,0,0,3,4,0,0
1557,2,3,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,2,3,2,0,1,1,4,1,0,2,5,0,0
2017,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,2,2,0,1,1,4,9,0,1,1,1,0
2277,0,1,1,0,0,0,0,0,0,0,9,1,0,2,0,0,0,2,2,2,0,1,1,3,9,0,5,1,0,1
1905,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,2,2,0,0,1,2,1,0,3,2,0,0
1411,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2,2,0,1,1,4,1,0,2,5,0,0
1521,2,3,0,0,0,1,1,0,1,1,1,1,0,3,0,0,0,1,3,2,1,0,1,2,1,0,2,2,0,0
1472,0,1,0,0,0,0,1,0,0,0,9,1,0,1,0,0,0,4,3,2,0,0,0,4,9,0,5,1,0,0
2331,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,3,2,2,0,0,0,4,9,0,5,3,0,0
1779,2,1,0,0,0,0,1,0,0,0,9,1,0,1,1,1,1,4,3,2,1,1,1,3,9,0,5,2,0,0
2130,2,2,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,4,2,2,1,1,1,2,1,0,3,3,0,1
2289,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,1,1,4,0,0,2,5,1,0
1748,0,1,0,0,1,1,1,0,0,0,9,0,0,1,0,0,0,2,3,2,0,1,0,4,9,0,2,3,0,0
1917,0,1,0,0,1,0,1,0,0,0,0,1,0,3,1,1,1,1,3,2,1,0,0,2,1,0,2,2,0,0
2257,0,1,1,0,0,1,1,0,0,1,9,1,1,2,0,0,0,3,2,2,0,1,0,3,9,0,5,1,0,0
1886,1,1,0,0,0,0,0,0,0,0,9,1,0,1,1,1,1,2,1,2,1,1,1,4,9,0,2,4,0,0
1477,0,1,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,4,2,2,0,1,0,4,9,0,5,5,0,0
2144,0,2,0,0,0,0,0,0,0,0,9,1,0,2,1,1,1,3,2,2,1,1,1,3,9,0,5,1,0,0
1470,1,1,0,0,0,0,1,0,0,1,9,1,0,3,0,0,0,3,2,2,0,1,1,3,9,0,5,1,1,1
2107,0,1,1,0,0,0,0,0,0,0,9,1,1,1,1,1,1,4,2,2,1,1,0,3,9,0,2,2,0,0
1508,2,3,0,0,0,0,0,0,0,0,9,1,0,2,1,1,1,1,2,2,1,1,1,3,9,0,5,1,0,0
2036,2,3,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,4,1,1,5,4,0,0
1922,1,2,0,0,0,0,0,0,1,0,9,1,0,2,1,1,1,3,3,2,1,1,1,3,9,0,2,2,0,0
2288,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,3,2,1,1,1,1,0,0,2,5,0,0
2330,0,1,0,0,0,0,0,0,0,0,9,1,0,3,0,0,0,1,3,2,0,1,1,3,9,0,2,1,0,0
1461,1,2,0,1,0,0,1,0,1,1,9,1,0,2,1,1,1,3,3,2,1,1,1,3,9,0,2,1,0,0
2011,1,1,0,0,0,0,1,0,0,0,1,1,0,2,1,1,1,4,2,2,1,1,1,2,1,0,3,2,1,0
1719,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,2,2,0,0,0,3,9,0,3,1,0,0
2290,1,2,1,0,0,0,1,0,1,0,0,1,0,2,1,1,1,2,2,2,1,0,1,4,1,0,2,4,0,0
1731,0,1,0,0,1,1,1,0,0,0,9,1,0,1,0,0,0,1,3,2,0,1,1,3,9,0,3,5,0,0
2042,0,1,1,0,0,0,0,0,0,0,9,1,1,2,0,0,0,4,2,2,0,0,0,4,9,0,5,3,0,0
2271,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2,2,1,1,0,2,1,0,3,3,0,0
2255,0,1,0,0,0,0,1,0,0,0,9,1,0,1,0,0,0,4,2,2,0,1,1,4,9,0,5,1,1,1
1740,0,2,0,0,0,0,1,0,0,0,1,1,0,2,1,1,1,4,2,2,1,1,1,2,1,1,3,2,0,1
2164,1,3,1,0,0,0,0,0,0,0,9,1,1,1,0,1,1,2,2,2,0,1,1,4,9,0,2,5,0,1
1968,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,3,2,1,0,0,4,1,0,2,2,0,0
1750,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,2,2,1,1,1,2,1,1,3,5,0,0
1424,1,1,1,0,1,0,1,0,1,0,9,1,0,3,1,1,1,1,3,2,1,0,0,3,9,0,2,4,0,0
1591,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,2,0,1,1,4,1,0,2,2,0,1
2304,0,1,0,0,1,0,0,0,0,0,9,1,0,1,0,0,0,1,2,2,0,1,1,4,9,0,5,4,0,0
2247,0,3,1,0,1,0,0,0,0,0,0,1,1,2,1,0,1,2,2,2,1,1,1,1,0,0,5,4,0,0
1492,1,2,0,0,0,0,0,0,0,0,9,1,0,2,1,1,1,4,2,2,1,1,1,4,9,0,5,1,0,1
1516,2,2,0,0,1,1,1,0,1,1,0,1,0,3,1,1,1,4,3,2,1,1,0,4,1,0,2,2,0,0
1499,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,2,2,1,0,0,4,1,0,3,2,0,0
1945,0,1,0,0,0,0,0,0,0,0,9,1,0,2,1,1,1,2,3,2,1,0,1,3,9,0,2,4,0,0
1634,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,1,1,2,2,2,1,1,1,2,1,0,3,2,0,0
1844,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,3,2,1,1,1,1,0,0,3,2,0,0
1953,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,4,3,2,0,1,1,1,0,0,3,2,0,0
1672,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,2,2,1,1,1,2,1,1,3,3,0,0
1875,0,1,0,0,1,1,0,0,0,1,0,1,0,3,1,1,1,4,2,2,1,1,1,2,1,0,3,2,1,0
1785,0,1,0,0,0,0,0,0,0,0,9,0,0,1,1,1,1,4,2,2,1,1,1,3,9,1,3,3,1,1
1544,0,2,0,0,0,0,0,0,0,0,9,1,0,2,1,1,1,2,3,2,1,1,1,3,9,0,2,1,0,0
1972,2,3,1,0,0,0,1,0,0,0,9,1,0,2,0,1,1,3,2,2,1,1,1,4,9,0,5,1,0,0
2052,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,2,1,1,1,2,1,0,3,2,0,0
1942,1,1,0,0,1,0,0,0,0,0,9,1,0,2,1,1,1,4,3,2,1,1,1,3,9,0,2,2,0,0
1868,0,1,0,0,0,1,1,0,1,1,9,0,0,3,1,1,1,2,3,2,1,0,0,3,9,0,2,2,0,0
2111,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2,1,2,0,1,1,1,0,1,5,3,1,1
1474,0,1,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,4,2,2,0,0,0,3,9,0,2,2,0,0
1819,0,1,0,0,1,0,1,0,0,1,0,0,0,3,1,1,1,4,3,2,1,0,0,2,1,0,3,2,0,0
1583,1,1,0,0,0,0,1,0,1,0,9,0,0,2,1,1,1,4,2,2,1,1,1,3,9,0,2,2,1,0
2110,1,2,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,2,2,2,1,1,1,1,0,0,2,4,0,0
1854,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,2,1,1,1,4,1,0,2,4,0,1
2324,2,2,1,0,0,1,0,0,0,0,9,1,0,2,1,1,1,3,1,2,1,1,1,3,9,0,3,1,0,1
1843,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,2,2,1,1,1,4,0,0,2,5,0,0
1788,1,1,0,0,0,1,1,1,0,1,0,1,0,3,1,1,1,4,2,2,1,0,1,1,0,0,3,2,0,0
1713,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,2,2,0,1,1,4,9,0,5,4,0,0
1529,2,1,0,0,1,0,0,0,1,0,0,1,0,2,1,1,1,4,2,2,1,1,0,1,0,0,3,2,0,0
1617,2,3,1,1,0,1,1,0,0,0,0,1,1,3,1,1,1,4,2,2,1,1,0,1,0,0,5,4,0,0
2355,0,1,0,0,0,1,1,0,0,0,9,1,0,1,0,0,0,4,3,2,0,0,1,4,9,0,5,1,0,0
2035,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,4,2,2,1,0,1,4,1,0,5,4,0,0
1540,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,2,2,1,0,0,2,1,0,3,4,0,0
2321,0,1,1,0,0,0,1,0,1,1,0,1,0,3,1,1,1,4,3,2,1,1,0,1,0,0,2,4,0,0
1456,2,2,0,0,0,1,1,0,0,1,9,0,0,2,1,1,1,3,2,2,1,1,1,3,9,0,3,3,0,0
1552,1,1,1,0,0,0,0,1,1,0,0,1,0,2,1,1,1,1,2,2,1,0,1,4,1,0,5,4,1,0
2231,1,2,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,1,2,2,1,1,1,2,1,0,1,2,0,0
1614,0,1,0,0,0,1,0,0,0,0,9,0,0,3,1,1,1,4,3,2,1,0,1,4,9,0,5,5,0,0
1935,0,1,0,0,0,0,0,0,0,0,9,1,0,2,1,1,1,3,3,2,1,1,1,3,9,0,2,2,0,0
1425,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,3,2,2,0,0,1,2,1,0,3,4,0,0
1860,0,2,0,0,1,1,0,1,1,1,0,1,0,3,1,1,1,3,3,2,1,0,1,1,0,0,2,4,0,0
2082,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,2,1,1,1,1,0,0,2,4,0,0
1528,1,3,1,0,0,1,1,0,1,1,9,0,0,3,1,1,1,4,3,2,1,1,0,3,9,0,2,2,0,0
2282,2,2,1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,4,3,2,1,1,1,4,1,0,5,4,0,0
2100,1,2,0,0,0,0,0,0,1,0,1,0,0,2,1,0,1,3,1,2,0,1,1,2,1,0,3,2,0,1
1695,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,3,1,2,0,1,1,1,0,0,3,5,0,0
2318,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,3,2,1,0,0,4,1,0,2,4,0,0
1924,2,2,1,0,0,0,0,0,1,0,9,1,1,2,0,0,0,2,2,2,0,1,1,4,9,1,5,5,0,0
2002,0,1,0,1,1,1,1,0,1,0,9,1,0,2,0,0,0,2,2,2,0,1,1,3,9,0,3,1,0,0
1777,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,3,2,2,1,1,1,2,1,0,3,3,0,0
2200,2,2,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,3,2,2,0,1,1,3,9,0,2,3,0,0
2301,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,1,2,2,0,1,1,4,9,0,5,5,0,0
1524,2,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,4,2,2,0,1,1,2,1,0,5,2,0,0
1828,0,1,0,0,1,0,0,0,0,0,9,1,0,2,1,1,1,4,3,2,1,1,1,4,9,0,2,3,0,0
1683,1,1,0,0,0,0,1,1,0,1,0,1,0,2,1,1,1,2,2,2,1,0,1,4,1,0,2,2,0,0
2360,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,2,2,0,1,1,4,9,0,1,1,0,1
1873,1,2,0,0,0,1,1,1,0,0,9,0,0,2,1,1,1,3,3,2,1,1,1,3,9,1,5,1,1,0
2283,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,3,2,0,1,1,4,9,0,2,4,0,0
1721,0,1,0,0,0,0,1,0,0,0,9,1,0,1,0,0,0,4,2,2,0,0,1,3,9,0,1,2,0,0
1909,1,3,0,0,0,0,0,0,0,0,9,1,0,3,1,1,1,4,3,2,1,1,1,3,9,0,2,3,0,0
2352,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,2,0,1,1,1,0,0,3,3,0,1
1409,2,1,0,0,0,1,0,0,1,0,9,0,0,2,1,1,1,3,2,2,1,1,1,3,9,0,2,4,0,0
1613,0,2,0,0,0,0,0,0,0,1,9,1,0,2,1,1,1,1,2,2,1,1,0,3,9,0,2,2,0,0
1776,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,3,2,1,1,1,1,0,0,1,4,0,0
2103,1,2,1,0,0,1,1,0,0,0,9,1,1,1,0,0,0,4,2,2,0,1,1,3,9,0,3,4,0,0
1834,1,2,0,0,0,1,1,0,0,1,0,1,0,2,1,1,1,4,2,2,1,1,1,4,1,0,5,3,0,0
2071,2,1,1,0,0,0,1,0,0,1,0,1,1,2,1,1,1,3,2,2,1,0,1,2,1,0,3,4,0,0
1862,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,3,2,1,0,1,1,0,0,3,4,0,0
2060,2,1,0,0,0,0,0,0,0,0,9,1,0,1,1,1,1,3,2,2,1,0,1,3,9,0,2,3,0,0
2342,2,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,1,2,1,1,1,1,1,0,2,5,0,0
2228,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,1,2,1,0,1,1,0,0,5,5,0,0
1685,1,1,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,3,2,2,1,0,1,2,1,0,3,1,0,0
1691,1,2,1,1,0,0,0,0,0,0,9,1,1,2,1,1,1,4,2,2,1,0,1,3,9,0,2,2,0,0
2148,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,2,2,1,1,1,4,1,0,5,3,0,0
2265,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,2,2,1,0,1,2,1,0,3,2,0,0
2176,2,3,1,0,1,1,1,1,1,0,9,1,0,2,0,1,1,4,2,2,0,1,1,3,9,0,3,2,0,0
1420,1,2,1,0,1,1,1,0,1,1,9,1,0,3,1,1,1,4,2,2,1,1,1,3,9,0,2,2,1,1
2253,1,2,0,0,0,1,1,0,0,0,1,0,0,2,1,1,1,4,2,2,1,1,1,2,1,0,3,1,0,0
1816,0,1,0,0,0,0,0,0,1,1,1,1,0,2,1,1,1,4,2,2,1,1,1,2,1,0,3,2,0,0
2339,1,1,0,0,0,0,1,0,0,0,0,1,0,3,1,1,1,4,2,2,1,0,1,1,0,0,5,2,0,0
1736,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,1,2,1,1,1,2,1,0,3,3,0,0
1531,2,3,0,0,0,0,0,0,1,0,9,0,0,3,1,1,1,3,3,2,1,0,0,4,9,0,5,1,0,0
2333,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,3,3,2,1,0,1,1,0,0,2,3,0,0
1961,0,1,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,4,2,2,0,1,1,2,1,0,3,3,0,0
1431,0,1,0,0,0,1,1,0,0,1,1,0,0,2,1,1,1,4,2,2,1,1,1,2,1,0,3,2,0,0
1575,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,2,0,1,1,4,1,0,2,4,0,1
1725,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,3,2,2,1,1,1,2,1,0,3,4,0,0
2167,1,3,0,1,1,0,0,1,1,1,1,0,0,2,1,1,1,4,2,2,1,1,1,4,1,0,3,2,0,0
1394,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,2,2,1,0,1,1,0,0,2,4,0,0
2174,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,2,2,1,0,1,4,1,0,1,4,0,0
2365,0,1,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,4,3,2,0,0,1,4,9,0,2,2,0,0
1923,2,2,1,0,0,0,0,0,1,0,0,1,0,2,1,1,1,3,2,2,1,1,1,4,1,0,2,3,0,0
2207,2,3,1,0,1,0,0,1,0,0,0,0,1,2,1,1,1,1,2,2,1,1,1,2,0,0,2,3,0,1
1915,0,1,0,0,0,0,0,0,1,1,9,0,0,2,0,0,0,4,2,2,0,1,0,3,9,0,3,1,0,0
2047,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,2,2,2,1,1,1,4,1,0,2,4,0,0
2199,1,1,0,0,0,1,1,1,1,0,1,0,0,2,1,1,1,4,2,2,1,1,1,2,1,0,1,1,0,0
1948,0,1,0,0,0,0,0,0,0,0,9,1,0,3,1,1,1,3,2,2,1,0,0,4,9,0,2,1,0,0
1548,0,2,1,0,1,0,0,0,0,0,9,1,0,2,1,1,1,2,2,2,1,1,1,3,9,0,2,4,0,0
2313,2,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,3,2,0,1,1,1,0,0,2,3,0,0
1400,0,1,0,0,0,0,0,0,1,0,9,1,0,1,1,1,1,4,3,2,1,1,1,4,9,0,5,4,0,0
1947,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,2,2,1,0,1,4,0,0,5,4,0,0
1404,2,3,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,3,2,2,0,1,1,4,1,0,2,3,0,0
1687,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,3,3,2,1,1,1,1,0,0,5,1,0,0
1979,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,4,3,2,0,1,1,4,9,0,1,2,0,1
1799,1,1,1,0,1,0,1,0,0,0,0,1,1,2,1,1,1,2,3,2,1,0,1,1,0,0,3,3,0,0
1637,0,1,1,0,1,0,0,0,0,0,9,0,0,2,0,0,0,1,2,2,0,1,1,3,9,0,2,4,0,0
2278,0,1,0,1,1,1,0,0,1,0,9,1,0,2,0,0,0,3,2,2,0,1,1,3,9,0,5,1,1,1
1553,0,2,0,0,1,0,0,0,1,0,1,1,0,3,0,0,0,2,3,2,0,1,1,1,0,0,3,3,0,0
1807,2,1,0,1,0,0,1,1,1,1,9,1,0,2,1,1,1,2,3,2,1,1,1,3,9,0,3,2,0,0
2287,1,2,0,0,0,0,1,0,1,1,0,1,0,3,1,1,1,3,2,2,1,0,1,2,1,0,2,3,0,0
1743,2,2,1,0,0,0,0,0,1,0,9,1,0,1,0,0,0,4,2,2,0,1,1,3,9,0,2,3,0,0
2303,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,2,3,2,1,1,1,4,0,0,2,4,0,1
1680,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,4,2,2,1,1,1,4,1,0,5,2,0,0
1635,1,2,0,0,0,0,1,0,0,0,9,0,0,2,1,1,1,2,2,2,1,1,1,3,9,0,5,1,0,0
1817,1,2,0,0,0,0,1,0,0,1,0,1,0,2,1,1,1,4,2,2,1,1,1,2,1,0,3,2,0,0
2006,2,1,0,0,0,0,1,0,0,0,1,1,0,2,1,1,1,2,2,2,1,1,0,2,1,0,3,2,0,0
2266,2,2,0,0,1,0,1,0,1,0,0,1,0,2,1,1,1,2,2,2,1,1,0,2,1,0,3,4,0,0
1956,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,2,2,1,1,1,4,1,0,5,2,1,1
2191,0,2,0,0,0,0,0,0,1,0,9,1,0,2,1,1,1,1,1,2,1,0,0,3,9,0,2,5,0,0
